	name	lenght	energy	x	y	z	dx	dy	dz	
	Epair	20428.7801314349	95978237.07900357	0.009578579104724632	-0.052073323447497905	-20428.78013134965	8.454060902152872e-07	-6.837283546219695e-07	-0.9999999999994067	
	Epair	20819.080703822776	95964268.71943548	0.009878120545874688	-0.0522506732782849	-20819.080703737367	6.313893517010278e-07	-3.4907396594853235e-07	-0.9999999999997375	
	Epair	20960.977160848663	95957129.76028946	0.009962452866264945	-0.05225769323929891	-20960.97716076323	6.594315399027069e-07	-1.536217005577156e-07	-0.9999999999997685	
	Epair	22041.318441234514	95940959.19334754	0.011904471977868173	-0.051775463692253484	-22041.318441147225	2.9999914807537468e-06	1.0712483335591477e-06	-0.9999999999949242	
	Epair	22390.4504868985	95928581.7359908	0.012980350395480195	-0.05130222831132844	-22390.45048680923	2.909276239771967e-06	1.3074026625859173e-06	-0.9999999999949114	
	Epair	22898.25304573037	95906217.35130194	0.01467320856301485	-0.05082091803440036	-22898.25304563805	2.9326346691482015e-06	7.368732375209865e-07	-0.9999999999954262	
	Epair	22959.70264569756	95905331.69034393	0.01484090059043581	-0.05077510808901696	-22959.70264560499	2.618263022330346e-06	8.44508274637592e-07	-0.9999999999962136	
	Epair	23009.356732470893	95903615.12952672	0.014966497270023645	-0.05072942751818423	-23009.356732378143	2.385270482247343e-06	7.713174122456787e-07	-0.9999999999968555	
	Epair	23290.593269995752	95901517.32638688	0.015597733168560867	-0.05049176805611433	-23290.593269902194	2.2868358728257275e-06	8.497903288008679e-07	-0.9999999999970218	
	Epair	23403.233049757924	95813623.65047465	0.01582642122927222	-0.050379929207902456	-23403.23304966408	1.8657140956715544e-06	1.056008402646289e-06	-0.9999999999976997	
	Epair	23776.650522390817	95756395.05945323	0.01662784160144603	-0.04994231631367111	-23776.650522295855	1.9956490852125583e-06	1.1392230594841386e-06	-0.9999999999973576	
